"","Year","District","Electorate","ColNames","Votes","Percentage"
"298",2005,"Gampaha","Wattala","Mahinda Rajapaksha",31446,42.99
"299",2005,"Gampaha","Wattala","Ranil Wickramasinghe",40984,56.03
"300",2005,"Gampaha","Wattala","Achala Ashoka Suraweera",141,0.19
"301",2005,"Gampaha","Wattala","Victor Hettigoda",151,0.21
"302",2005,"Gampaha","Wattala","Hewaheenipallage Shantha Dharmadwaja",5,0.01
"303",2005,"Gampaha","Wattala","Total No of Valid Votes",73148,98.82
"304",2005,"Gampaha","Wattala","No of Rejected Votes",873,1.18
"305",2005,"Gampaha","Wattala","Total No of Votes Polled",74021,78.37
"306",2005,"Gampaha","Negombo","Wimal Geeganage",34,0.05
"307",2005,"Gampaha","Negombo","Chamil Jayaneththi",75,0.11
"308",2005,"Gampaha","Negombo","Ajith Kumara Jayaweera Arachchige",42,0.06
"309",2005,"Gampaha","Negombo","Siritunga Jayasuriya",252,0.38
"310",2005,"Gampaha","Negombo","P. Nelson Perera",16,0.02
"311",2005,"Gampaha","Negombo","Wije Dias",25,0.04
"312",2005,"Gampaha","Negombo","Anura De Silva",46,0.07
"313",2005,"Gampaha","Negombo","Aruna de Soyza",37,0.06
"314",2005,"Gampaha","Negombo","Mahinda Rajapaksha",24236,36.83
"315",2005,"Gampaha","Negombo","Ranil Wickramasinghe",40805,62.01
"316",2005,"Gampaha","Negombo","Achala Ashoka Suraweera",141,0.21
"317",2005,"Gampaha","Negombo","Victor Hettigoda",92,0.14
"318",2005,"Gampaha","Negombo","Hewaheenipallage Shantha Dharmadwaja",1,0
"319",2005,"Gampaha","Negombo","Total No of Valid Votes",65802,98.8
"320",2005,"Gampaha","Negombo","No of Rejected Votes",799,1.2
"321",2005,"Gampaha","Negombo","Total No of Votes Polled",66601,74.53
"322",2005,"Gampaha","Katana","Wimal Geeganage",43,0.05
"323",2005,"Gampaha","Katana","Chamil Jayaneththi",79,0.09
"324",2005,"Gampaha","Katana","Ajith Kumara Jayaweera Arachchige",31,0.03
"325",2005,"Gampaha","Katana","Siritunga Jayasuriya",258,0.28
"326",2005,"Gampaha","Katana","P. Nelson Perera",13,0.01
"327",2005,"Gampaha","Katana","Wije Dias",18,0.02
"328",2005,"Gampaha","Katana","Anura De Silva",52,0.06
"329",2005,"Gampaha","Katana","Aruna de Soyza",84,0.09
"330",2005,"Gampaha","Katana","Mahinda Rajapaksha",49095,54.23
"331",2005,"Gampaha","Katana","Ranil Wickramasinghe",40473,44.71
"332",2005,"Gampaha","Katana","Achala Ashoka Suraweera",195,0.22
"333",2005,"Gampaha","Katana","Victor Hettigoda",177,0.2
"334",2005,"Gampaha","Katana","Hewaheenipallage Shantha Dharmadwaja",10,0.01
"335",2005,"Gampaha","Katana","Total No of Valid Votes",90528,98.93
"336",2005,"Gampaha","Katana","No of Rejected Votes",977,1.07
"337",2005,"Gampaha","Katana","Total No of Votes Polled",91505,79.85
"338",2005,"Gampaha","Divulapitiya","Wimal Geeganage",48,0.06
"339",2005,"Gampaha","Divulapitiya","Chamil Jayaneththi",79,0.11
"340",2005,"Gampaha","Divulapitiya","Ajith Kumara Jayaweera Arachchige",36,0.05
"341",2005,"Gampaha","Divulapitiya","Siritunga Jayasuriya",217,0.29
"342",2005,"Gampaha","Divulapitiya","P. Nelson Perera",15,0.02
"343",2005,"Gampaha","Divulapitiya","Wije Dias",15,0.02
"344",2005,"Gampaha","Divulapitiya","Anura De Silva",51,0.07
"345",2005,"Gampaha","Divulapitiya","Aruna de Soyza",46,0.06
"346",2005,"Gampaha","Divulapitiya","Mahinda Rajapaksha",39347,52.39
"347",2005,"Gampaha","Divulapitiya","Ranil Wickramasinghe",34945,46.53
"348",2005,"Gampaha","Divulapitiya","Achala Ashoka Suraweera",179,0.24
"349",2005,"Gampaha","Divulapitiya","Victor Hettigoda",115,0.15
"350",2005,"Gampaha","Divulapitiya","Hewaheenipallage Shantha Dharmadwaja",7,0.01
"351",2005,"Gampaha","Divulapitiya","Total No of Valid Votes",75100,99.1
"352",2005,"Gampaha","Divulapitiya","No of Rejected Votes",680,0.9
"353",2005,"Gampaha","Divulapitiya","Total No of Votes Polled",75780,80.89
"354",2005,"Gampaha","Mirigama","Wimal Geeganage",62,0.07
"355",2005,"Gampaha","Mirigama","Chamil Jayaneththi",85,0.1
"356",2005,"Gampaha","Mirigama","Ajith Kumara Jayaweera Arachchige",42,0.05
"357",2005,"Gampaha","Mirigama","Siritunga Jayasuriya",227,0.27
"358",2005,"Gampaha","Mirigama","P. Nelson Perera",13,0.02
"359",2005,"Gampaha","Mirigama","Wije Dias",28,0.03
"360",2005,"Gampaha","Mirigama","Anura De Silva",70,0.08
"361",2005,"Gampaha","Mirigama","Aruna de Soyza",38,0.05
"362",2005,"Gampaha","Mirigama","Mahinda Rajapaksha",45537,55
"363",2005,"Gampaha","Mirigama","Ranil Wickramasinghe",36345,43.89
"364",2005,"Gampaha","Mirigama","Achala Ashoka Suraweera",196,0.24
"365",2005,"Gampaha","Mirigama","Victor Hettigoda",145,0.18
"366",2005,"Gampaha","Mirigama","Hewaheenipallage Shantha Dharmadwaja",13,0.02
"367",2005,"Gampaha","Mirigama","Total No of Valid Votes",82801,98.83
"368",2005,"Gampaha","Mirigama","No of Rejected Votes",982,1.17
"369",2005,"Gampaha","Mirigama","Total No of Votes Polled",83783,77.9
"370",2005,"Gampaha","Minuwangoda","Wimal Geeganage",38,0.04
"371",2005,"Gampaha","Minuwangoda","Chamil Jayaneththi",74,0.08
"372",2005,"Gampaha","Minuwangoda","Ajith Kumara Jayaweera Arachchige",36,0.04
"373",2005,"Gampaha","Minuwangoda","Siritunga Jayasuriya",259,0.29
"374",2005,"Gampaha","Minuwangoda","P. Nelson Perera",22,0.02
"375",2005,"Gampaha","Minuwangoda","Wije Dias",29,0.03
